|-------------|---------------------------------------|
| Category ID | Category Name                         |
|-------------|---------------------------------------|
| 143         | (Other)                               |
|-------------|---------------------------------------|
| 318         | 12V                                   |
|-------------|---------------------------------------|
| 628         | 1950                                  |
|-------------|---------------------------------------|
| 797         | 1954                                  |
|-------------|---------------------------------------|
| 561         | 1955                                  |
|-------------|---------------------------------------|
| 560         | 1956                                  |
|-------------|---------------------------------------|
| 559         | 1957                                  |
|-------------|---------------------------------------|
| 558         | 1958                                  |
|-------------|---------------------------------------|
| 557         | 1959                                  |
|-------------|---------------------------------------|
| 556         | 1960                                  |
|-------------|---------------------------------------|
| 555         | 1961                                  |
|-------------|---------------------------------------|
| 554         | 1962                                  |
|-------------|---------------------------------------|
| 553         | 1963                                  |
|-------------|---------------------------------------|
| 551         | 1964                                  |
|-------------|---------------------------------------|
| 340         | 1965                                  |
|-------------|---------------------------------------|
| 341         | 1966                                  |
|-------------|---------------------------------------|
| 342         | 1967                                  |
|-------------|---------------------------------------|
| 343         | 1968                                  |
|-------------|---------------------------------------|
| 344         | 1969                                  |
|-------------|---------------------------------------|
| 345         | 1970                                  |
|-------------|---------------------------------------|
| 346         | 1971                                  |
|-------------|---------------------------------------|
| 347         | 1972                                  |
|-------------|---------------------------------------|
| 348         | 1973                                  |
|-------------|---------------------------------------|
| 349         | 1974                                  |
|-------------|---------------------------------------|
| 350         | 1975                                  |
|-------------|---------------------------------------|
| 351         | 1976                                  |
|-------------|---------------------------------------|
| 352         | 1977                                  |
|-------------|---------------------------------------|
| 353         | 1978                                  |
|-------------|---------------------------------------|
| 354         | 1979                                  |
|-------------|---------------------------------------|
| 355         | 1980                                  |
|-------------|---------------------------------------|
| 356         | 1981                                  |
|-------------|---------------------------------------|
| 357         | 1982                                  |
|-------------|---------------------------------------|
| 358         | 1983                                  |
|-------------|---------------------------------------|
| 359         | 1984                                  |
|-------------|---------------------------------------|
| 360         | 1985                                  |
|-------------|---------------------------------------|
| 361         | 1986                                  |
|-------------|---------------------------------------|
| 362         | 1987                                  |
|-------------|---------------------------------------|
| 363         | 1988                                  |
|-------------|---------------------------------------|
| 364         | 1989                                  |
|-------------|---------------------------------------|
| 365         | 1990                                  |
|-------------|---------------------------------------|
| 366         | 1991                                  |
|-------------|---------------------------------------|
| 367         | 1992                                  |
|-------------|---------------------------------------|
| 368         | 1993                                  |
|-------------|---------------------------------------|
| 369         | 1994                                  |
|-------------|---------------------------------------|
| 370         | 1995                                  |
|-------------|---------------------------------------|
| 371         | 1996                                  |
|-------------|---------------------------------------|
| 372         | 1997                                  |
|-------------|---------------------------------------|
| 373         | 1998                                  |
|-------------|---------------------------------------|
| 374         | 1999                                  |
|-------------|---------------------------------------|
| 375         | 2000                                  |
|-------------|---------------------------------------|
| 377         | 2001                                  |
|-------------|---------------------------------------|
| 378         | 2002                                  |
|-------------|---------------------------------------|
| 491         | 2003                                  |
|-------------|---------------------------------------|
| 515         | 2004                                  |
|-------------|---------------------------------------|
| 544         | 2005                                  |
|-------------|---------------------------------------|
| 565         | 2006                                  |
|-------------|---------------------------------------|
| 581         | 2007                                  |
|-------------|---------------------------------------|
| 601         | 2008                                  |
|-------------|---------------------------------------|
| 647         | 2009                                  |
|-------------|---------------------------------------|
| 743         | 2010                                  |
|-------------|---------------------------------------|
| 756         | 2011                                  |
|-------------|---------------------------------------|
| 767         | 2012                                  |
|-------------|---------------------------------------|
| 786         | 2013                                  |
|-------------|---------------------------------------|
| 805         | 2014                                  |
|-------------|---------------------------------------|
| 826         | 2015                                  |
|-------------|---------------------------------------|
| 869         | 2016                                  |
|-------------|---------------------------------------|
| 901         | 2017                                  |
|-------------|---------------------------------------|
| 930         | 2018                                  |
|-------------|---------------------------------------|
| 1028        | 2019                                  |
|-------------|---------------------------------------|
| 1066        | 2020                                  |
|-------------|---------------------------------------|
| 1119        | 2021                                  |
|-------------|---------------------------------------|
| 1213        | 2022                                  |
|-------------|---------------------------------------|
| 516         | 4 Juniors                             |
|-------------|---------------------------------------|
| 316         | 4.5V                                  |
|-------------|---------------------------------------|
| 315         | 9V                                    |
|-------------|---------------------------------------|
| 1007        | Accessory Pack                        |
|-------------|---------------------------------------|
| 173         | Action Wheelers                       |
|-------------|---------------------------------------|
| 766         | Activity Book                         |
|-------------|---------------------------------------|
| 714         | Advent                                |
|-------------|---------------------------------------|
| 715         | Advent Sub-Set                        |
|-------------|---------------------------------------|
| 902         | Adventure Time                        |
|-------------|---------------------------------------|
| 53          | Adventurers                           |
|-------------|---------------------------------------|
| 1056        | AFOL Designer Program                 |
|-------------|---------------------------------------|
| 609         | Agents                                |
|-------------|---------------------------------------|
| 711         | Agori                                 |
|-------------|---------------------------------------|
| 93          | Aircraft                              |
|-------------|---------------------------------------|
| 1012        | Aircraft, Decorated                   |
|-------------|---------------------------------------|
| 969         | Airjitzu Flyers                       |
|-------------|---------------------------------------|
| 325         | Airport                               |
|-------------|---------------------------------------|
| 1187        | Aladdin                               |
|-------------|---------------------------------------|
| 762         | Alien Conquest                        |
|-------------|---------------------------------------|
| 170         | Alpha Team                            |
|-------------|---------------------------------------|
| 86          | Animal, Accessory                     |
|-------------|---------------------------------------|
| 146         | Animal, Air                           |
|-------------|---------------------------------------|
| 148         | Animal, Body Part                     |
|-------------|---------------------------------------|
| 1128        | Animal, Body Part, Decorated          |
|-------------|---------------------------------------|
| 184         | Animal, Dinosaur                      |
|-------------|---------------------------------------|
| 147         | Animal, Land                          |
|-------------|---------------------------------------|
| 145         | Animal, Water                         |
|-------------|---------------------------------------|
| 1050        | Animals Series 1                      |
|-------------|---------------------------------------|
| 1051        | Animals Series 2                      |
|-------------|---------------------------------------|
| 1052        | Animals Series 3                      |
|-------------|---------------------------------------|
| 1053        | Animals Series 4                      |
|-------------|---------------------------------------|
| 1054        | Animals Series 5                      |
|-------------|---------------------------------------|
| 1055        | Animals Series 6                      |
|-------------|---------------------------------------|
| 854         | Ant-Man                               |
|-------------|---------------------------------------|
| 1074        | Ant-Man and the Wasp                  |
|-------------|---------------------------------------|
| 1           | Antenna                               |
|-------------|---------------------------------------|
| 973         | Aquaman                               |
|-------------|---------------------------------------|
| 260         | Aquanauts                             |
|-------------|---------------------------------------|
| 261         | Aquaraiders I                         |
|-------------|---------------------------------------|
| 580         | Aquaraiders II                        |
|-------------|---------------------------------------|
| 262         | Aquasharks                            |
|-------------|---------------------------------------|
