|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| Color ID | Color Name               | RGB    | Type        | Parts | In Sets | Wanted | For Sale | Year From | Year To |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 0        | (Not Applicable)         |        | N/A         | 4587  | 12360   | 62547  | 10990    | 1954      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 41       | Aqua                     | BCE5DC | Solid       | 82    | 60      | 1233   | 116      | 1998      | 2006    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 11       | Black                    | 212121 | Solid       | 10925 | 11692   | 15454  | 11229    | 1957      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 7        | Blue                     | 0057A6 | Solid       | 3811  | 7844    | 6792   | 4199     | 1950      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 97       | Blue-Violet              | 506CEF | Solid       | 38    | 18      | 709    | 64       | 2004      | 2005    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 36       | Bright Green             | 10CB31 | Solid       | 588   | 1738    | 2222   | 671      | 1950      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 105      | Bright Light Blue        | BCD1ED | Solid       | 373   | 477     | 1412   | 422      | 2004      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 110      | Bright Light Orange      | FFC700 | Solid       | 1011  | 1429    | 2547   | 1094     | 2000      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 103      | Bright Light Yellow      | FEED83 | Solid       | 391   | 696     | 1870   | 437      | 2004      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 104      | Bright Pink              | F7BCDA | Solid       | 555   | 1074    | 1458   | 613      | 2003      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 8        | Brown                    | 532115 | Solid       | 570   | 1082    | 3110   | 921      | 1974      | 2006    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 227      | Clikits Lavender         | E0AAD9 | Solid       | 10    | 12      | 182    | 12       | 2005      | 2005    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 220      | Coral                    | FF8172 | Solid       | 138   | 196     | 690    | 140      | 2019      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 153      | Dark Azure               | 009FE0 | Solid       | 614   | 771     | 1749   | 651      | 2000      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 63       | Dark Blue                | 243757 | Solid       | 2022  | 1903    | 4012   | 2107     | 1961      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 109      | Dark Blue-Violet         | 2032B0 | Solid       | 9     | 7       | 783    | 16       | 2004      | 2006    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 85       | Dark Bluish Gray         | 595D60 | Solid       | 3642  | 5932    | 7063   | 4036     | 1991      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 120      | Dark Brown               | 330000 | Solid       | 681   | 1480    | 2640   | 735      | 2008      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 10       | Dark Gray                | 6B5A5A | Solid       | 1029  | 1688    | 3791   | 1432     | 1961      | 2006    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 80       | Dark Green               | 2E5543 | Solid       | 829   | 920     | 2816   | 910      | 1961      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 225      | Dark Nougat              | E78B3E | Solid       | 3     | 10      | 570    | 18       | 2001      | 2004    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 68       | Dark Orange              | B35408 | Solid       | 667   | 1498    | 2169   | 741      | 1979      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 47       | Dark Pink                | EF5BB3 | Solid       | 701   | 1109    | 1516   | 768      | 1994      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 89       | Dark Purple              | 5F2683 | Solid       | 911   | 1075    | 2067   | 992      | 2000      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 59       | Dark Red                 | 6A0E15 | Solid       | 1522  | 1644    | 3671   | 1614     | 1961      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 231      | Dark Salmon              | FF6326 | Solid       | 5     | 4       | 58     | 4        | 2003      | 2003    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 69       | Dark Tan                 | B89869 | Solid       | 979   | 2081    | 2855   | 1035     | 1961      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 39       | Dark Turquoise           | 00A29F | Solid       | 521   | 570     | 1498   | 593      | 1998      | 2022    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 161      | Dark Yellow              | DD982E | Solid       | 4     | 4       | 523    | 19       | 2004      | 2005    |
|----------|--------------------------|--------|-------------|-------|---------|--------|----------|-----------|---------|
| 29       | Earth Orange             | E6881D | Solid       | 37    | 87      | 752    | 55       | 1982      | 2006    |
